ID,Name,Nationality,Date Of Birth,Height,Position,Appearances,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big Chances Created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Club
1,David Seaman,England,19/09/1963,193cm,Goalkeeper,344,171,73,6,0,0,1,0,0,5,17,141,2,0,1,1,1,0,0,4,57,0.17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alan Miller,England,29/03/1970,191cm,Goalkeeper,25,5,13,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tony Adams,England,10/10/1966,191cm,Defender,255,132,56,,,,,,,,,115,2,0,2,36,4,1,12,9,30,0.12,2,3,3%,0,0,2,4,3,0,3,11,7,0,8,6,0,0,0%,0,0,0,0,0,0,,,,,,,,
4,Colin Pates,England,10/08/1961,183cm,Defender,7,4,2,,,,,,,,,1,0,0,0,0,0,0,0,0,0,7,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
5,Gavin McGowan,England,16/01/1976,180cm,Defender,6,2,4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
6,Pal Lydersen,Norway,10/09/1965,183cm,Defender,8,0,5,,,,,,,,,1,0,0,0,0,0,0,0,0,0,8,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
7,Steve Morrow,Northern Ireland,02/07/1970,183cm,Defender,60,26,21,,,,,,,,,14,0,0,0,2,0,0,1,1,0,60,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
8,David O'Leary,Ireland,02/05/1958,186cm,Defender,21,7,7,,,,,,,,,5,0,0,0,1,0,0,0,0,0,21,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
9,Steve Bould,England,16/11/1962,193cm,Defender,196,89,49,,,,,,,,,69,0,0,0,38,2,0,2,6,10,0.05,1,0,0%,0,0,1,1,1,0,2,4,0,0,4,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
10,Scott Marshall,Scotland,01/05/1973,185cm,Defender,26,10,11,,,,,,,,,9,0,0,2,6,0,0,1,0,0,26,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
